riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits
rs12154473-?,3e-08,-,NR,-,0.0117 unit increase,[0.0076-0.0158],MAD1L1,Bipolar disorder type I vs bipolar disorder type II,"bipolar II disorder,bipolar I disorder"
rs147650109-G,7e-07,-,0.026,1.5724013,-,[NR],ADGRE1,Bipolar II disorder,bipolar II disorder
rs72761817-G,3e-07,-,0.025,1.5387928,-,[NR],"OXCT1,PLCXD3",Bipolar II disorder,bipolar II disorder
chr21_26773583_D-?,9e-08,-,0.034,1.5260652,-,[NR],-,Bipolar II disorder,bipolar II disorder
rs111444407-T,4e-06,-,0.144,1.18685,-,[NR],NCAN,Bipolar II disorder,bipolar II disorder
rs79143696-C,9e-08,-,0.0212,1.66496,-,[NR],"KRTAP5-13P,KRTAP5-14P",Bipolar II disorder,bipolar II disorder
rs7720655-T,3e-08,-,0.865,0.85513,-,[0.80-0.91],SLIT3,Bipolar II disorder,bipolar II disorder
rs1948223-C,6e-07,-,0.338999999999999,1.0842576,-,[NR],LINC01378,Bipolar I disorder,bipolar I disorder
rs7613933-G,7e-07,-,0.507,1.0792842,-,[NR],WDR49,Bipolar I disorder,bipolar I disorder
rs6079463-G,8e-07,-,0.194999999999999,1.0970205,-,[NR],MACROD2,Bipolar I disorder,bipolar I disorder
rs998817-T,8e-07,-,0.507,1.07735,-,-,LINC01378,Bipolar I disorder,bipolar I disorder
rs115858175-G,8e-07,-,0.165,1.1046184,-,[NR],LINC01221,Bipolar I disorder,bipolar I disorder
rs111998037-C,8e-07,-,0.248,1.0910003,-,[NR],"ANKHD1,ANKHD1-EIF4EBP3",Bipolar I disorder,bipolar I disorder
rs9521159-G,8e-07,-,0.604,1.0793891,-,[NR],MYO16,Bipolar I disorder,bipolar I disorder
rs11917269-G,9e-07,-,0.738,1.0916554,-,[NR],CACNA2D2,Bipolar I disorder,bipolar I disorder
rs7858026-T,1e-06,-,0.476,1.0790745,-,[NR],ASTN2,Bipolar I disorder,bipolar I disorder
rs143685090-C,1e-06,-,0.009,1.56816,-,[NR],"RLIG1P3,RPSAP74",Bipolar I disorder,bipolar I disorder
rs9371601-T,1e-06,-,0.349,1.07983,-,-,SYNE1,Bipolar I disorder,bipolar I disorder
rs960145-A,2e-07,-,0.47,1.08166,-,-,"RAMACL,RPS6KA2",Bipolar I disorder,bipolar I disorder
rs181957530-C,3e-07,-,0.016,1.3703886,-,[NR],FSTL5,Bipolar I disorder,bipolar I disorder
rs6090435-G,3e-07,-,0.497,1.0910003,-,[NR],"EEF1A2,PPDPF",Bipolar I disorder,bipolar I disorder
rs17395886-C,3e-07,-,0.836,1.1139331,-,[NR],"RPS14P7,FSTL5",Bipolar I disorder,bipolar I disorder
rs6065777-T,3e-07,-,0.697,1.08904,-,-,STK4,Bipolar I disorder,bipolar I disorder
rs2388334-G,3e-07,-,0.481,1.0800419,-,[NR],"EIF4EBP2P3,MIR2113",Bipolar I disorder,bipolar I disorder
rs73222936-A,3e-07,-,0.0441,1.25986,-,-,"MESTP3,LINC02364",Bipolar I disorder,bipolar I disorder
chr2_181742430_D-?,3e-07,-,0.055,1.1793983,-,[NR],-,Bipolar I disorder,bipolar I disorder
rs12754946-T,3e-07,-,0.575,1.0835,-,-,AK5,Bipolar I disorder,bipolar I disorder
rs138321-A,3e-07,-,0.502,1.08091,-,-,SLC25A17,Bipolar I disorder,bipolar I disorder
